year,insured_units,insured_persons,claims_total_cnt_k,claims_total_amt_m,claims_inpatient_cnt_k,claims_outpatient_cnt_k,claims_inpatient_amt_m,claims_outpatient_amt_m,total_cost_per_person,impatient_cost_per_person,outpatient_cost_per_person,avg_cost_per_claim,avg_impatient_cost_per_claim,avg_outpatient_cost_per_claim,inpatient_share_amount,outpatient_share_amount,claims_total_amt_m_lag1,claims_inpatient_amt_m_lag1,claims_outpatient_amt_m_lag1,insured_persons_lag1,total_cost_per_person_lag1,inpatient_share_amount_lag1,outpatient_share_amount_lag1,gr_insured_persons,gr_claims_total_amt_m,gr_inpatient_amt_m,gr_outpatient_amt_m
2007,134715,4534371,46113,76986.0,522,28924.0,45590,48062.0,16978.319594933895,10054.316243642172,10599.485573633036,1669.5075141500229,87337.16475095786,1661.6650532429817,0.5921855921855922,0.624295326422986,71078.0,44573.0,43790.0,4329783.0,16416.06519310552,0.6270998058470976,0.6160837389909677,0.04725132876174154,0.08311995272798889,0.022816503264307952,0.09755651975336832
2008,134182,4530550,46620,81074.0,546,29981.0,46074,51093.0,17894.95756585845,10169.626204323979,11277.438721568022,1739.039039039039,84384.61538461539,1704.179313565258,0.5682956311517873,0.630202037644621,76986.0,45590.0,48062.0,4534371.0,16978.319594933895,0.5921855921855922,0.624295326422986,-0.0008426747612844121,0.05310056373886152,0.010616363237551996,0.06306437518205654
2009,135001,4538630,48807,84509.0,579,30825.0,48228,53684.0,18619.935971868163,10626.114047631114,11828.238917911352,1731.493433318991,83295.33678756477,1741.573398215734,0.5706847791359501,0.6352459501354886,81074.0,46074.0,51093.0,4530550.0,17894.95756585845,0.5682956311517873,0.630202037644621,0.0017834479257485825,0.04236870019981742,0.04675087902070585,0.050711447752138206
2010,137879,4564722,49218,87207.0,596,32015.0,48622,55192.0,19104.558831841237,10651.689193777847,12090.988235428138,1771.851761550652,81580.53691275168,1723.9419022333282,0.5575469859070946,0.6328849748300022,84509.0,48228.0,53684.0,4538630.0,18619.935971868163,0.5706847791359501,0.6352459501354886,0.005748871355452989,0.03192559372374548,0.008169528074977173,0.028090306236495
2011,141774,4608881,51031,89614.0,607,32095.0,50424,57519.0,19443.765200273127,10940.616605202,12480.035826483696,1756.0698399012365,83070.84019769357,1792.1483097055616,0.5626799384024818,0.641852835494454,87207.0,48622.0,55192.0,4564722.0,19104.558831841237,0.5575469859070946,0.6328849748300022,0.009673973573856243,0.027600995332943468,0.037061412529307614,0.042161907522829445
2012,145016,4645672,51963,92675.0,608,32896.0,51355,59779.0,19948.674809586213,11054.374910669543,12867.675548338324,1783.4805534707389,84465.46052631579,1817.2118190661479,0.5541408146749393,0.6450391151874831,89614.0,50424.0,57519.0,4608881.0,19443.765200273127,0.5626799384024818,0.641852835494454,0.007982631792836425,0.034157609302117864,0.01846343011264473,0.03929136459256943
2013,149034,4671421,47540,92733.0,586,33105.0,46954,59629.0,19851.13309205058,10051.33127585803,12764.638425866562,1950.6310475389146,80126.27986348124,1801.2082766953633,0.5063353930100396,0.6430181273117445,92675.0,51355.0,59779.0,4645672.0,19948.674809586213,0.5541408146749393,0.6450391151874831,0.005542578124327235,0.0006258429997303416,-0.08569759517086939,-0.0025092423760852967
2014,153596,4724894,48339,96049.0,595,34231.0,47744,61818.0,20328.2867298187,10104.776953726368,13083.468115898473,1986.9877324727445,80242.01680672269,1805.9069264701586,0.4970796156128643,0.6436089912440525,92733.0,46954.0,59629.0,4671421.0,19851.13309205058,0.5063353930100396,0.6430181273117445,0.011446838124844705,0.035758575695814976,0.016824977637687866,0.03671032551275388
2015,157733,4796228,48389,98991.0,606,35694.0,47783,63297.0,20639.344084559783,9962.620626041964,13197.245835685877,2045.7335344809771,78849.83498349835,1773.3232476046394,0.4827004475154307,0.6394217656150559,96049.0,47744.0,61818.0,4724894.0,20328.2867298187,0.4970796156128643,0.6436089912440525,0.015097481551967107,0.030630199169173977,0.0008168565683646101,0.023925070367853962
2016,162025,4847492,49445,103961.0,607,37024.0,48838,66937.0,21446.347925896527,10074.900587767861,13808.583902768689,2102.5583982202447,80457.99011532126,1807.935393258427,0.46977231846557843,0.6438664499187196,98991.0,47783.0,63297.0,4796228.0,20639.344084559783,0.4827004475154307,0.6394217656150559,0.01068839930045029,0.050206584436969015,0.022078982064751118,0.05750667488190597
2017,166115,4872302,48326,110542.0,612,38461.0,47714,72081.0,22687.838315441037,9792.90692572012,14794.033703165362,2287.422919339486,77964.0522875817,1874.1322378513298,0.4316368439145302,0.6520688968898699,103961.0,48838.0,66937.0,4847492.0,21446.347925896527,0.46977231846557843,0.6438664499187196,0.005118110561090239,0.06330258462307992,-0.02301486547360665,0.0768483798198305
2018,169750,4904913,49390,114537.0,630,39814.0,48760,74724.0,23351.484521743812,9941.05298096011,15234.520979271192,2319.0321927515693,77396.8253968254,1876.8272466971416,0.4257139614273117,0.6524005343251525,110542.0,47714.0,72081.0,4872302.0,22687.838315441037,0.4316368439145302,0.6520688968898699,0.006693140121445618,0.036140109641584095,0.02192228695980214,0.03666708286511011
2019,172339,4944983,50124,118830.0,638,40961.0,49486,77869.0,24030.416282523114,10007.314484195396,15747.071324613249,2370.7206128800576,77564.26332288401,1901.0522204047752,0.41644365900866787,0.6552974838003871,114537.0,48760.0,74724.0,4904913.0,23351.484521743812,0.4257139614273117,0.6524005343251525,0.008169359986609281,0.037481337908274126,0.014889253486464415,0.04208821797548312
2020,172060,4932200,46226,124358.0,611,42729.0,45616,81629.0,25213.49499209278,9248.611167430356,16550.220996715463,2690.2176264439927,74657.93780687398,1910.3887289662757,0.3668119461554544,0.656403287283488,118830.0,49486.0,77869.0,4944983.0,24030.416282523114,0.41644365900866787,0.6552974838003871,-0.002585044276188664,0.0465202389968864,-0.07820393646687951,0.04828622429978546
2021,170949,4901799,41608,118769.0,532,39859.0,41076,78911.0,24229.67567621602,8379.78056627781,16098.375310778756,2854.4751009421266,77210.52631578948,1979.753631551218,0.34584782224317795,0.6644073790298816,124358.0,45616.0,81629.0,4932200.0,25213.49499209278,0.3668119461554544,0.656403287283488,-0.006163780868577939,-0.04494282635616531,-0.09952648193616276,-0.033296990040304286
2022,170483,4880359,45641,131705.0,544,43432.0,45098,88273.0,26986.744212874502,9240.713644221665,18087.398898318752,2885.672969479196,82900.73529411765,2032.4415177749124,0.34241676473937965,0.6702327170570593,118769.0,41076.0,78911.0,4901799.0,24229.67567621602,0.34584782224317795,0.6644073790298816,-0.004373904356339331,0.10891731007249361,0.09791605803875747,0.1186399868205954
2023,175631,4925289,51321,136902.0,618,46401.0,50702,90501.0,27795.729347049484,10294.218268207205,18374.759328843444,2667.5629859121996,82042.071197411,1950.410551496735,0.37035251493769267,0.6610641188587457,131705.0,45098.0,88273.0,4880359.0,26986.744212874502,0.34241676473937965,0.6702327170570593,0.00920628994711259,0.03945939789681474,0.1242627167501884,0.025239880824261096
